gameid;tournament;gametype;teamA;teamidA;teamB;teamidB;resultA;resultB;addinfo;date;teamA_age;teamB_age;teamA_def_val;teamB_def_val;teamA_off_val;teamB_off_val;teamA_frag;teamB_frag;past_resultA;past_resultB
2768219;AC17;Gruppe C;Marokko;3575;Elfenbeinküste;3591;1;0;;24.01.17;26.90909090909091;25.434782608695652;27200000.0;65850000.0;29250000.0;72600000.0;22;22;0.0026125000000000002;0.0501184375
2768211;AC17;Gruppe C;Elfenbeinküste;3591;Demokratische-Republik-Kongo;3854;2;2;;20.01.17;25.434782608695652;25.727272727272727;53750000.0;19350000.0;84600000.0;39400000.0;22;19;2.9973687499999997;1.14273125
2768212;AC17;Gruppe C;Marokko;3575;Togo;3815;3;1;;20.01.17;26.782608695652176;27.304347826086957;27500000.0;6000000.0;31750000.0;12600000.0;23;21;0.0475;0.9974999999999999
2768203;AC17;Gruppe C;Elfenbeinküste;3591;Togo;3815;0;0;;16.01.17;25.434782608695652;27.26086956521739;65750000.0;5000000.0;72600000.0;13600000.0;22;21;1.9;0.95
2768204;AC17;Gruppe C;Demokratische-Republik-Kongo;3854;Marokko;3575;1;0;;16.01.17;25.608695652173914;26.782608695652176;20000000.0;26500000.0;38800000.0;31750000.0;20;23;;
2768222;AC17;Gruppe D;Uganda;13497;Mali;3674;1;1;;25.01.17;24.608695652173914;25.17391304347826;2550000.0;9850000.0;2275000.0;25850000.0;18;21;;
2768221;AC17;Gruppe D;Ägypten;3672;Ghana;3441;1;0;;25.01.17;26.904761904761905;25.181818181818183;21100000.0;14550000.0;42700000.0;50900000.0;14;21;1.9973815312499998;0.06210684375
2768213;AC17;Gruppe D;Ghana;3441;Mali;3674;1;0;;21.01.17;25.181818181818183;25.17391304347826;19550000.0;9850000.0;46400000.0;25850000.0;21;21;0.99774996875;2.8547618749999994
2768214;AC17;Gruppe D;Ägypten;3672;Uganda;13497;1;0;;21.01.17;27.0;24.608695652173914;18500000.0;2500000.0;46700000.0;2325000.0;14;18;2.952256515625;0.049875
2768205;AC17;Gruppe D;Ghana;3441;Uganda;13497;1;0;;17.01.17;25.043478260869566;24.80952380952381;40350000.0;2000000.0;38100000.0;2500000.0;21;17;0.002624671875;0.049875296875
2768206;AC17;Gruppe D;Mali;3674;Ägypten;3672;0;0;;17.01.17;25.17391304347826;26.91304347826087;9950000.0;20300000.0;24850000.0;46700000.0;21;14;0.0;0.95
2977683;WM18;Gruppe A;Russland;3448;Saudi-Arabien;3807;5;0;;14.06.18;28.26087;28.13043;53625000;10225000;108200000;8600000;10;7;;
2977684;WM18;Gruppe A;Ägypten;3672;Uruguay;3449;0;1;;15.06.18;28.434783;27.695652;28150000;141000000;169075000;232000000;16;19;0;1.9
2977690;WM18;Gruppe B;Portugal;3300;Spanien;3375;3;3;;15.06.18;27.913043;28;155100000;494000000;339400000;540000000;19;13;2.09011875;3.8023928125
2977689;WM18;Gruppe B;Marokko;3575;Iran;3582;0;1;;15.06.18;26.782609;26.652174;39550000;13450000;89900000;34700000;22;18;;
2977696;WM18;Gruppe C;Peru;3584;Dänemark;3436;0;1;;16.06.18;26.956522;26.73913;9325000;95000000;29200000;164300000;19;19;;
2977695;WM18;Gruppe C;Frankreich;3377;Australien;3433;2;1;;16.06.18;25.565217;27.608696;427500000;22500000;653000000;27750000;15;22;5.7;0
2977702;WM18;Gruppe D;Kroatien;3556;Nigeria;3444;2;0;;16.06.18;27.434783;25.434783;108000000;50850000;256000000;84000000;21;21;;
2977701;WM18;Gruppe D;Argentinien;3437;Island;3574;1;1;;16.06.18;29.086957;28.173913;115500000;13850000;583500000;62200000;18;21;;
2977708;WM18;Gruppe E;Brasilien;3439;Schweiz;3384;1;1;;17.06.18;28.130435;26.652174;360000000;148100000;621000000;70000000;14;19;0.095;0.99745
2977707;WM18;Gruppe E;Costa Rica;8497;Serbien;3438;0;1;;17.06.18;29.347826;26.26087;28450000;101950000;11700000;171500000;19;22;;
2977713;WM18;Gruppe F;Deutschland;3262;Mexiko;6303;0;1;;17.06.18;26.695652;28.782609;411000000;27600000;472000000;127000000;16;18;3.989;1.0925
2977713;WM18;Gruppe F;Deutschland;3262;Mexiko;6303;0;1;;17.06.18;26.695652;28.782609;411000000;27600000;472000000;127000000;16;18;3.989;1.0925
2977714;WM18;Gruppe F;Schweden;3557;Südkorea;3589;1;0;;18.06.18;27.73913;27.304348;60750000;16750000;59000000;70775000;19;19;1.9475;1.9475
2977720;WM18;Gruppe G;Tunesien;3670;England;3299;1;2;;18.06.18;26;25.565217;28175000;337000000;30700000;537000000;20;10;;
2977719;WM18;Gruppe G;Belgien;3382;Panama;3577;3;0;;18.06.18;27.130435;28.434783;197000000;5350000;557000000;2875000;18;19;;
2977725;WM18;Gruppe H;Polen;3442;Senegal;3499;1;2;;19.06.18;27.913043;26.695652;92750000;116300000;181800000;181000000;19;20;;
2977726;WM18;Gruppe H;Kolumbien;3816;Japan;3435;1;2;;19.06.18;27.913043;28.26087;93100000;29400000;158000000;44000000;22;20;3.802375;0.95
2977686;WM18;Gruppe A;Uruguay;3449;Saudi-Arabien;3807;1;0;;20.06.18;27.695652;28.130435;141000000;10225000;232000000;8600000;19;7;;
2977685;WM18;Gruppe A;Russland;3448;Ägypten;3672;3;1;;19.06.18;28.3181;28.434783;53625000;28150000;93200000;169075000;10;16;;
2977692;WM18;Gruppe B;Iran;3582;Spanien;3375;0;1;;20.06.18;26.652174;28;13450000;494000000;34700000;540000000;18;13;;
2977691;WM18;Gruppe B;Portugal;3300;Marokko;3575;1;0;;20.06.18;27.913043;26.782609;155100000;39550000;339400000;89900000;19;22;;
2977697;WM18;Gruppe C;Frankreich;3377;Peru;3584;1;0;;21.06.18;25.565217;26.956522;427500000;9325000;653000000;29200000;15;19;;
2977698;WM18;Gruppe C;Dänemark;3436;Australien;3433;1;1;;21.06.18;26.73913;27.608696;95000000;22500000;164300000;27750000;19;22;;
2977703;WM18;Gruppe D;Argentinien;3437;Kroatien;3556;0;3;;21.06.18;29.086957;27.434783;115500000;108000000;583500000;256000000;18;21;;
2977704;WM18;Gruppe D;Nigeria;3444;Island;3574;2;0;;22.06.18;25.434783;28.173913;50850000;13850000;84000000;62200000;21;21;;
2977710;WM18;Gruppe E;Serbien;3438;Schweiz;3384;1;2;;22.06.18;26.26087;26.652174;101950000;26.652174;171500000;70000000;22;19;;
2977709;WM18;Gruppe E;Brasilien;3439;Costa Rica;8497;2;0;;22.06.18;28.130435;29.347826;360000000;28450000;621000000;11700000;14;19;1.007;0.002375
2977715;WM18;Gruppe F;Deutschland;3262;Schweden;3557;2;1;;23.06.18;26.695652;27.73913;411000000;60750000;472000000;59000000;16;19;4.940368125;3.04
2977716;WM18;Gruppe F;Südkorea;3589;Mexiko;6303;1;2;;23.06.18;27.304348;28.782609;16750000;27600000;70775000;127000000;19;18;0.0475;3.8
2977721;WM18;Gruppe G;Belgien;3382;Tunesien;3670;5;2;;23.06.18;27.130435;26;197000000;28175000;557000000;30700000;18;20;0.95;0
2977722;WM18;Gruppe G;England;3299;Panama;3577;6;1;;24.06.18;25.565217;28.434783;337000000;5350000;537000000;2875000;10;19;0.95;1.9
2977728;WM18;Gruppe H;Polen;3442;Kolumbien;3816;0;3;;24.06.18;27.913043;27.913043;92750000;93100000;181800000;158000000;19;22;;
2977727;WM18;Gruppe H;Japan;3435;Senegal;3499;2;2;;24.06.18;28.26087;26.695652;29400000;116300000;44000000;181000000;20;20;0.95;0
2977687;WM18;Gruppe A;Uruguay;3449;Russland;3448;2;0;;25.06.18;27.695652;28.3181;141000000;53625000;232000000;93200000;19;10;0.95;0.95
2977688;WM18;Gruppe A;Saudi-Arabien;3807;Ägypten;3672;2;1;;25.06.18;28.0476;28.434783;10225000;28150000;6950000;169075000;7;16;0.95;1.9475
2977694;WM18;Gruppe B;Spanien;3375;Marokko;3575;2;2;;25.06.18;28;26.782609;494000000;39550000;540000000;89900000;13;22;;
2977693;WM18;Gruppe B;Iran;3582;Portugal;3300;1;1;;25.06.18;26.652174;27.913043;13450000;155100000;34700000;339400000;18;19;0;1.9
2977700;WM18;Gruppe C;Australien;3433;Peru;3584;0;2;;26.06.18;27.7272;26.956522;22500000;9325000;27200000;29200000;21;19;;
2977699;WM18;Gruppe C;Dänemark;3436;Frankreich;3377;0;0;;26.06.18;26.4545;25.565217;94500000;427500000;164300000;653000000;19;15;0.95;1.99975
2977706;WM18;Gruppe D;Island;3574;Kroatien;3556;1;2;;26.06.18;28.173913;27.434783;13850000;108000000;62200000;256000000;21;21;0.95;0.099769
2977705;WM18;Gruppe D;Nigeria;3444;Argentinien;3437;1;2;;26.06.18;25.434783;29.086957;50850000;115500000;84000000;583500000;21;18;3.89785;2.049749
2977712;WM18;Gruppe E;Schweiz;3384;Costa Rica;8497;2;2;;27.06.18;26.652174;29.347826;148100000;28450000;70000000;11700000;19;19;0.095;0.95
2977711;WM18;Gruppe E;Serbien;3438;Brasilien;3439;0;2;;27.06.18;26.26087;28.22727;101950000;340000000;171500000;621000000;22;14;0;0.95
2977717;WM18;Gruppe F;Südkorea;3589;Deutschland;3262;2;0;;27.06.18;27.304348;26.5238;16750000;351000000;70775000;472000000;19;16;2.84999;0.95
2977718;WM18;Gruppe F;Mexiko;6303;Schweden;3557;0;3;;27.06.18;28.782609;27.73913;27600000;60750000;127000000;59000000;18;19;0;0.95
2977723;WM18;Gruppe G;England;3299;Belgien;3382;0;1;;28.06.18;25.565217;27.130435;337000000;197000000;537000000;557000000;10;18;0.95;0
2977724;WM18;Gruppe G;Panama;3577;Tunesien;3670;1;2;;28.06.18;28.434783;26.2;5350000;22875000;2875000;30700000;19;20;;
2977731;WM18;Gruppe H;Japan;3435;Polen;3442;0;1;;28.06.18;28.26087;27.913043;29400000;92750000;44000000;181800000;20;19;;
2977730;WM18;Gruppe H;Senegal;3499;Kolumbien;3816;0;1;;28.06.18;26.695652;27.913043;116300000;93100000;181000000;158000000;20;22;1.9;1.9
3057975;WM18;Achtelfinale;Uruguay;3449;Portugal;3300;2;1;;30.06.18;27.695652;27.913043;141000000;155100000;232000000;339400000;19;19;;
3057974;WM18;Achtelfinale;Frankreich;3377;Argentinien;3437;4;3;;30.06.18;25.565217;29.086957;427500000;115500000;653000000;583500000;15;18;0;1.9475
3057977;WM18;Achtelfinale;Kroatien;3556;Dänemark;3436;4;3;n.E.;01.07.18;27.3181;26.77727;108000000;95000000;242000000;152300000;21;19;1.9;0.95
3057976;WM18;Achtelfinale;Spanien;3375;Russland;3448;4;5;n.E.;01.07.18;28;28.2272;494000000;46625000;540000000;53625000;13;10;3.002006;2.85237
3058403;WM18;Achtelfinale;Belgien;3382;Japan;3435;3;2;;02.07.18;27.130435;28.0909;197000000;29400000;557000000;38000000;18;19;1.045;0.152
3057978;WM18;Achtelfinale;Brasilien;3439;Mexiko;6303;2;0;;02.07.18;28.2;28.782609;280000000;27600000;566000000;127000000;14;18;1.90476;0.00024
3058404;WM18;Achtelfinale;Kolumbien;3816;England;3299;4;5;n.E.;03.07.18;27.7619;25.6363;92100000;287000000;88000000;537000000;21;10;1.9;2.849999
3057979;WM18;Achtelfinale;Schweden;3557;Schweiz;3384;1;0;;03.07.18;27.73913;26.6818;60750000;148100000;59000000;63000000;19;18;;
